alg,timestamp,only_inference,val_size_pct,infer_lr,infer_weight_decay,infer_num_epochs,gpu,seed,root_dir,results_csv,batch_size,num_epochs,lr,weight_decay,momentum,pretrained,infer_momentum,high_sampling_power,train_worst_group_accuracy,train_average_accuracy,group_accuracy,group_avg_precision,group_min_precision,group_avg_recall,group_min_recall,worst_group_accuracy,average_accuracy,early_stopping_worst_group_accuracy,early_stopping_average_accuracy,eiil_num_steps,eiil_lr,upsample_factor
spare,2024-01-17 13:04:12.923615,False,5,0.001,0.1,1,0,0,/data,/home/sjoshi/spuco_experiments/end2end_tuning/group_recovery_metric/results.csv,64,300,0.0001,0.1,0.9,True,0.9,2.0,40.20618556701031,85.07221782019433,0.7857142857142857,0.9530443756449948,0.9411764705882352,0.6033912324234905,0.5913978494623656,69.47040498442368,91.15092862958736,75.85669781931465,96.72534271503356,,,
spare,2024-01-17 13:04:32.822241,False,5,0.001,0.01,1,0,0,/data,/home/sjoshi/spuco_experiments/end2end_tuning/group_recovery_metric/results.csv,64,300,0.0001,0.1,0.9,True,0.9,2.0,43.18181818181818,85.54848958171488,0.7857142857142857,0.9666666666666668,0.9333333333333332,0.608767576509512,0.6021505376344086,67.28971962616822,89.19188079632924,85.66978193146417,96.53200231246517,,,
spare,2024-01-17 13:07:07.277810,False,5,0.001,1.0,1,0,0,/data,/home/sjoshi/spuco_experiments/end2end_tuning/group_recovery_metric/results.csv,64,300,0.0001,0.1,0.9,True,0.9,2.0,0.0,76.79016325496788,0.726890756302521,0.5244909190974133,0.0869565217391304,0.4470636889991729,0.0769230769230769,52.64797507788162,94.14609054756204,78.66043613707166,98.08129404240007,,,
spare,2024-01-17 13:08:09.581949,False,15,0.001,0.1,1,0,0,/data,/home/sjoshi/spuco_experiments/end2end_tuning/group_recovery_metric/results.csv,64,300,0.0001,0.1,0.9,True,0.9,2.0,40.20618556701031,85.07221782019433,0.7899159663865546,0.9571199266223342,0.9550561797752808,0.6059415494899365,0.6025641025641025,62.77258566978193,91.90365279273284,83.48909657320873,97.2026154945264,,,
spare,2024-01-17 13:10:33.812300,False,15,0.001,1.0,1,0,0,/data,/home/sjoshi/spuco_experiments/end2end_tuning/group_recovery_metric/results.csv,64,300,0.0001,0.1,0.9,True,0.9,2.0,0.0,76.79016325496788,0.680672268907563,0.5068152454780361,0.0694444444444444,0.3958505652054039,0.0641025641025641,50.24390243902439,90.88535605284326,80.68535825545172,97.92902675556302,,,
spare,2024-01-17 13:10:36.311510,False,15,0.001,0.01,1,0,0,/data,/home/sjoshi/spuco_experiments/end2end_tuning/group_recovery_metric/results.csv,64,300,0.0001,0.1,0.9,True,0.9,2.0,43.18181818181818,85.54848958171488,0.788515406162465,0.9563770355402356,0.9553072625698324,0.5949131513647643,0.5769230769230769,63.70716510903427,91.9013157805176,85.51401869158879,96.31025091160296,,,
eiil,2024-01-17 11:39:28.651296,False,5,0.001,0.01,1,7,0,/data,/home/sjoshi/spuco_experiments/end2end_tuning/group_recovery_metric/results.csv,64,300,1e-05,1.0,0.9,True,0.9,,0.0,96.43378519290928,0.3739495798319328,0.6689814814814814,0.375,0.4282464846980975,0.2795698924731182,5.7632398753894085,80.73226466776421,77.88161993769471,92.4517054077617,20000.0,0.01,
eiil,2024-01-17 11:39:42.198953,False,5,0.001,0.01,2,6,0,/data,/home/sjoshi/spuco_experiments/end2end_tuning/group_recovery_metric/results.csv,64,300,1e-05,1.0,0.9,True,0.9,,0.0,98.81126173096976,0.3025210084033613,0.7708333333333333,0.5416666666666666,0.3091397849462365,0.1182795698924731,7.165109034267913,86.21149338228167,71.65109034267913,96.30640895168308,20000.0,0.01,
eiil,2024-01-17 11:39:47.577852,False,15,0.001,0.01,1,7,0,/data,/home/sjoshi/spuco_experiments/end2end_tuning/group_recovery_metric/results.csv,64,300,1e-05,1.0,0.9,True,0.9,,0.0,96.43378519290928,0.6022408963585434,0.5994146040875012,0.3296703296703296,0.358974358974359,0.3333333333333333,5.7632398753894085,80.73226466776421,70.87227414330218,96.84981576275196,20000.0,0.01,
eiil,2024-01-17 11:39:09.865520,False,15,0.001,0.01,2,6,0,/data,/home/sjoshi/spuco_experiments/end2end_tuning/group_recovery_metric/results.csv,64,300,1e-05,1.0,0.9,True,0.9,,0.0,98.81126173096976,0.5490196078431373,0.6544980443285529,0.4615384615384615,0.2819134270747174,0.1792114695340501,7.165109034267913,86.21149338228167,72.50554323725055,95.7809618986986,20000.0,0.01,
spare,2024-01-17 15:09:17.809971,False,5,0.001,0.01,2,0,0,/data,/home/sjoshi/spuco_experiments/end2end_tuning/group_recovery_metric/results.csv,64,300,0.0001,0.1,0.9,True,0.9,2.0,59.550561797752806,90.26942930494148,0.6848739495798319,0.96875,0.9375,0.4497518610421835,0.3225806451612903,37.29490022172949,87.32181742221357,77.25856697819314,96.54454577139548,,,
spare,2024-01-17 15:11:08.645390,False,5,0.001,0.1,2,0,0,/data,/home/sjoshi/spuco_experiments/end2end_tuning/group_recovery_metric/results.csv,64,300,0.0001,0.1,0.9,True,0.9,2.0,56.91056910569106,89.91109537308574,0.6974789915966386,0.9761904761904762,0.9523809523809524,0.5351530190239868,0.3010752688172043,21.507760532150776,68.42408878906227,79.59501557632399,96.68845474261607,,,
spare,2024-01-17 15:14:54.607292,False,15,0.001,0.01,2,0,0,/data,/home/sjoshi/spuco_experiments/end2end_tuning/group_recovery_metric/results.csv,64,300,0.0001,0.1,0.9,True,0.9,2.0,59.550561797752806,90.26942930494148,0.7212885154061625,0.9659657875980044,0.9565217391304348,0.4953129307968017,0.4265232974910394,24.656319290465632,72.01679694216868,80.75388026607538,95.72377776101452,,,
spare,2024-01-17 15:15:04.468361,False,5,0.001,1.0,2,0,0,/data,/home/sjoshi/spuco_experiments/end2end_tuning/group_recovery_metric/results.csv,64,300,0.0001,0.1,0.9,True,0.9,2.0,0.0,76.78832116788321,0.7100840336134454,0.5016025641025641,0.0416666666666666,0.4224565756823821,0.0384615384615384,42.66075388026608,91.17234968095924,63.2398753894081,96.76150582903614,,,
spare,2024-01-17 15:19:00.965721,False,15,0.001,0.1,2,0,0,/data,/home/sjoshi/spuco_experiments/end2end_tuning/group_recovery_metric/results.csv,64,300,0.0001,0.1,0.9,True,0.9,2.0,56.91056910569106,89.91109537308574,0.7072829131652661,0.9754940711462452,0.9727272727272728,0.4802178108629721,0.3835125448028674,45.98669623059867,84.97264189608023,82.70509977827051,96.29334219677952,,,
spare,2024-01-17 15:22:30.449587,False,15,0.001,1.0,2,0,0,/data,/home/sjoshi/spuco_experiments/end2end_tuning/group_recovery_metric/results.csv,64,300,0.0001,0.1,0.9,True,0.9,2.0,0.0,76.78832116788321,0.6946778711484594,0.5045095132196689,0.0704225352112676,0.4155638268541494,0.0641025641025641,46.208425720620845,87.815188676426,61.21495327102804,96.20859724749286,,,
eiil,2024-01-17 15:02:47.146354,False,15,0.001,1.0,1,0,0,/data,/home/sjoshi/spuco_experiments/end2end_tuning/group_recovery_metric/results.csv,64,300,1e-05,1.0,0.9,True,0.9,,0.0,76.80917622523462,0.4327731092436975,0.2388059701492537,0.0,0.4102564102564102,0.0,17.29490022172949,85.09121667819147,49.2239467849224,95.99834995960576,20000.0,0.01,
