alg,timestamp,infer_lr,infer_weight_decay,infer_num_epochs,gpu,seed,root_dir,results_csv,batch_size,num_epochs,lr,weight_decay,momentum,pretrained,infer_momentum,high_sampling_power,train_worst_group_accuracy,train_average_accuracy,group_accuracy,group_avg_precision,group_min_precision,group_avg_recall,group_min_recall,worst_group_accuracy,average_accuracy,early_stopping_worst_group_accuracy,early_stopping_average_accuracy,eiil_num_steps,eiil_lr,upsample_factor
spare,2023-12-25 15:15:55.459095,0.001,0.1,2,0,0,/data,/home/sjoshi/spuco_experiments/group_inference_tuning/results.csv,128,300,0.0001,0.1,0.9,False,0.9,2.0,0.0,76.78832116788321,0.5579649708090075,0.5525862068965517,0.25,0.1969569847365194,0.1278195488721804,21.339563862928348,88.05742028784894,28.34890965732087,76.64779366880298,,,
spare,2023-12-25 15:16:19.100535,0.001,0.01,2,0,0,/data,/home/sjoshi/spuco_experiments/group_inference_tuning/results.csv,128,300,0.0001,0.1,0.9,False,0.9,2.0,0.0,78.79890107104784,0.4170141784820684,0.5014378487497382,0.4086727989487516,0.7960970021620575,0.6673819742489271,22.11838006230529,87.08617776120468,33.333333333333336,83.57371390373675,,,
spare,2023-12-25 15:16:43.534387,0.001,1.0,2,0,0,/data,/home/sjoshi/spuco_experiments/group_inference_tuning/results.csv,128,300,0.0001,0.1,0.9,False,0.9,2.0,0.0,76.78832116788321,0.5162635529608006,0.5408753477544995,0.4962243797195254,0.8281486979250702,0.6691729323308271,12.461059190031152,88.09412075764054,26.4797507788162,89.52605850371478,,,
spare,2023-12-25 15:16:47.973752,0.001,1.0,1,0,0,/data,/home/sjoshi/spuco_experiments/group_inference_tuning/results.csv,128,300,0.0001,0.1,0.9,False,0.9,2.0,0.0,76.78832116788321,0.4887406171809841,0.4905292230933713,0.4897540983606557,0.6812497983155313,0.5128755364806867,18.84735202492212,88.32739249212604,38.75831485587583,66.79287526611819,,,
spare,2023-12-25 15:18:23.698408,0.001,0.1,1,0,0,/data,/home/sjoshi/spuco_experiments/group_inference_tuning/results.csv,128,300,0.0001,0.1,0.9,False,0.9,2.0,0.0,76.78832116788321,0.609674728940784,0.589688930009252,0.5270935960591133,0.6780067120591178,0.5515021459227468,10.903426791277258,90.72780321161486,33.8006230529595,69.84750072620174,,,
spare,2023-12-25 16:42:15.079550,0.0001,1.0,1,0,0,/data,/home/sjoshi/spuco_experiments/group_inference_tuning/results.csv,128,300,0.0001,0.1,0.9,False,0.9,2.0,0.0,76.78832116788321,0.4945788156797331,0.5007297706243891,0.4936061381074169,0.7788247442640936,0.7293233082706767,16.274944567627493,82.3912095063889,37.07165109034268,67.58322320831327,,,
spare,2023-12-25 16:42:20.738129,0.0001,0.1,2,0,0,/data,/home/sjoshi/spuco_experiments/group_inference_tuning/results.csv,128,300,0.0001,0.1,0.9,False,0.9,2.0,0.0,76.78832116788321,0.4595496246872393,0.4422434421418574,0.4158878504672897,0.460155216367098,0.1909871244635193,20.87227414330218,88.51194151946375,23.20872274143302,86.2494329165599,,,
spare,2023-12-25 16:43:07.416667,0.0001,0.01,2,0,0,/data,/home/sjoshi/spuco_experiments/group_inference_tuning/results.csv,128,300,0.0001,0.1,0.9,False,0.9,2.0,0.0,76.78832116788321,0.4261884904086739,0.3907940603920503,0.3266331658291457,0.449441737390687,0.1394849785407725,18.7139689578714,84.51179392020863,24.656319290465632,84.41005049512268,,,
eiil,2023-12-25 18:05:02.218968,0.001,0.1,1,0,0,/data,/home/sjoshi/spuco_experiments/group_inference_tuning/results.csv,128,300,1e-05,1.0,0.9,False,0.9,,0.0,76.78832116788321,0.3386155129274395,0.2706422018348624,0.0,0.2218045112781954,0.0,17.47228381374723,86.551404037194,39.09657320872274,62.9074606331099,20000.0,0.01,
eiil,2023-12-25 18:05:45.438052,0.001,0.01,1,0,0,/data,/home/sjoshi/spuco_experiments/group_inference_tuning/results.csv,128,300,1e-05,1.0,0.9,False,0.9,,0.0,76.78832116788321,0.3386155129274395,0.2706422018348624,0.0,0.2218045112781954,0.0,16.510903426791277,88.72211643387264,37.07165109034268,61.15657040439452,20000.0,0.01,
spare,2023-12-25 18:05:47.727940,1e-05,0.1,2,0,0,/data,/home/sjoshi/spuco_experiments/group_inference_tuning/results.csv,128,300,0.0001,0.1,0.9,False,0.9,2.0,0.0,76.78832116788321,0.4378648874061718,0.4092613897837092,0.3609756097560975,0.4440607957662396,0.1587982832618025,20.09345794392524,88.33114670784694,26.43015521064301,85.79550013721645,,,
spare,2023-12-25 18:07:55.984976,1e-05,1.0,2,0,0,/data,/home/sjoshi/spuco_experiments/group_inference_tuning/results.csv,128,300,0.0001,0.1,0.9,False,0.9,2.0,0.0,76.78832116788321,0.4462051709758132,0.4112544372781361,0.3446327683615819,0.4714656813708089,0.130901287553648,14.641744548286605,88.64719968480082,21.65109034267913,86.62451843600194,,,
eiil,2023-12-25 18:13:54.959183,0.001,1.0,1,0,0,/data,/home/sjoshi/spuco_experiments/group_inference_tuning/results.csv,128,300,1e-05,1.0,0.9,False,0.9,,0.0,76.78832116788321,0.3386155129274395,0.2706422018348624,0.0,0.2218045112781954,0.0,16.822429906542055,88.75816147999556,45.01557632398754,61.29714791954088,20000.0,0.01,
spare,2023-12-25 18:39:56.610038,1e-05,0.01,2,0,0,/data,/home/sjoshi/spuco_experiments/group_inference_tuning/results.csv,128,300,0.0001,0.1,0.9,False,0.9,2.0,0.0,76.78832116788321,0.4545454545454545,0.434554119336728,0.3961352657004831,0.4827196747232889,0.1759656652360515,12.928348909657322,89.99503548767382,39.20177383592018,62.68321406150992,,,
eiil,2023-12-25 19:25:01.558608,0.001,1.0,2,0,0,/data,/home/sjoshi/spuco_experiments/group_inference_tuning/results.csv,128,300,1e-05,1.0,0.9,False,0.9,,0.0,76.78832116788321,0.3386155129274395,0.2706422018348624,0.0,0.2218045112781954,0.0,15.42056074766355,89.10918248660649,36.137071651090345,73.27462726380232,20000.0,0.01,
eiil,2023-12-25 19:26:02.275644,0.001,0.1,2,0,0,/data,/home/sjoshi/spuco_experiments/group_inference_tuning/results.csv,128,300,1e-05,1.0,0.9,False,0.9,,0.0,76.78832116788321,0.3386155129274395,0.2706422018348624,0.0,0.2218045112781954,0.0,18.06853582554517,88.16321149933898,39.25233644859813,63.09340341171946,20000.0,0.01,
eiil,2023-12-25 19:26:44.316434,0.001,0.01,2,0,0,/data,/home/sjoshi/spuco_experiments/group_inference_tuning/results.csv,128,300,1e-05,1.0,0.9,False,0.9,,0.0,77.45568300312826,0.3511259382819016,0.3043845331232059,0.0674846625766871,0.2336070863854916,0.0236051502145922,19.626168224299064,87.90720633915606,37.53894080996885,67.63952137592239,20000.0,0.01,
eiil,2023-12-25 19:29:01.794390,0.0001,0.01,1,0,0,/data,/home/sjoshi/spuco_experiments/group_inference_tuning/results.csv,128,300,1e-05,1.0,0.9,False,0.9,,0.0,76.78832116788321,0.3386155129274395,0.2706422018348624,0.0,0.2218045112781954,0.0,15.609756097560975,85.43848998038965,21.419068736141902,56.57945812360563,20000.0,0.01,
eiil,2023-12-25 19:30:21.161947,0.0001,0.1,1,0,0,/data,/home/sjoshi/spuco_experiments/group_inference_tuning/results.csv,128,300,1e-05,1.0,0.9,False,0.9,,0.0,76.78832116788321,0.3386155129274395,0.2706422018348624,0.0,0.2218045112781954,0.0,14.98891352549889,85.58783353140602,21.197339246119736,49.17289938230374,20000.0,0.01,
eiil,2023-12-25 19:36:39.073082,0.0001,1.0,1,0,0,/data,/home/sjoshi/spuco_experiments/group_inference_tuning/results.csv,128,300,1e-05,1.0,0.9,False,0.9,,0.0,76.78832116788321,0.3386155129274395,0.2706422018348624,0.0,0.2218045112781954,0.0,12.9490022172949,83.68497746637206,24.34589800443459,55.49220258244099,20000.0,0.01,
eiil,2023-12-25 20:04:35.395676,0.0001,0.01,2,0,0,/data,/home/sjoshi/spuco_experiments/group_inference_tuning/results.csv,128,300,1e-05,1.0,0.9,False,0.9,,0.0,76.78832116788321,0.3386155129274395,0.2706422018348624,0.0,0.2218045112781954,0.0,17.516629711751662,86.20452377599489,22.83813747228381,55.29561868408061,20000.0,0.01,
eiil,2023-12-25 20:47:54.067073,0.0001,1.0,2,0,0,/data,/home/sjoshi/spuco_experiments/group_inference_tuning/results.csv,128,300,1e-05,1.0,0.9,False,0.9,,0.0,76.78832116788321,0.3386155129274395,0.2706422018348624,0.0,0.2218045112781954,0.0,15.920177383592018,85.71731570543588,23.414634146341463,54.89393608426451,20000.0,0.01,
eiil,2023-12-25 20:48:13.580393,0.0001,0.1,2,0,0,/data,/home/sjoshi/spuco_experiments/group_inference_tuning/results.csv,128,300,1e-05,1.0,0.9,False,0.9,,0.0,76.78832116788321,0.3386155129274395,0.2706422018348624,0.0,0.2218045112781954,0.0,14.722838137472284,83.91737901926432,23.148558758314856,54.86427527494449,20000.0,0.01,
eiil,2023-12-25 20:48:27.969529,1e-05,0.01,1,0,0,/data,/home/sjoshi/spuco_experiments/group_inference_tuning/results.csv,128,300,1e-05,1.0,0.9,False,0.9,,0.0,76.78832116788321,0.3386155129274395,0.2706422018348624,0.0,0.2218045112781954,0.0,15.920177383592018,85.31322357587084,22.61640798226164,55.713792525909945,20000.0,0.01,
eiil,2023-12-25 20:51:11.043359,1e-05,0.1,1,0,0,/data,/home/sjoshi/spuco_experiments/group_inference_tuning/results.csv,128,300,1e-05,1.0,0.9,False,0.9,,0.0,76.78832116788321,0.3386155129274395,0.2706422018348624,0.0,0.2218045112781954,0.0,16.984478935698448,85.31261790896843,23.85809312638581,53.02789161342717,20000.0,0.01,
eiil,2023-12-25 20:51:52.034072,1e-05,1.0,1,0,0,/data,/home/sjoshi/spuco_experiments/group_inference_tuning/results.csv,128,300,1e-05,1.0,0.9,False,0.9,,0.0,76.78832116788321,0.3386155129274395,0.2706422018348624,0.0,0.2218045112781954,0.0,17.339246119733925,85.61209727297987,23.63636363636364,54.58330119275281,20000.0,0.01,
eiil,2023-12-25 21:00:45.128835,1e-05,0.01,2,0,0,/data,/home/sjoshi/spuco_experiments/group_inference_tuning/results.csv,128,300,1e-05,1.0,0.9,False,0.9,,0.0,76.78832116788321,0.3386155129274395,0.2706422018348624,0.0,0.2218045112781954,0.0,16.23059866962306,85.45850927100439,22.749445676274945,55.83322377553176,20000.0,0.01,
eiil,2023-12-25 21:28:42.189938,1e-05,0.1,2,0,0,/data,/home/sjoshi/spuco_experiments/group_inference_tuning/results.csv,128,300,1e-05,1.0,0.9,False,0.9,,0.0,76.78832116788321,0.3386155129274395,0.2706422018348624,0.0,0.2218045112781954,0.0,15.56541019955654,85.1911441973919,23.37028824833703,53.82763227609065,20000.0,0.01,
eiil,2023-12-25 22:11:59.266914,1e-05,1.0,2,0,0,/data,/home/sjoshi/spuco_experiments/group_inference_tuning/results.csv,128,300,1e-05,1.0,0.9,False,0.9,,0.0,76.78832116788321,0.3386155129274395,0.2706422018348624,0.0,0.2218045112781954,0.0,17.694013303769403,85.99969016545198,22.61640798226164,54.17980235572358,20000.0,0.01,
jtt,2023-12-26 01:43:08.507788,0.001,0.01,60,0,0,/data,/home/sjoshi/spuco_experiments/group_inference_tuning/results.csv,128,300,1e-05,1.0,0.9,False,0.9,,0.0,97.8102189781022,0.517931609674729,0.5138295087688683,0.3493150684931507,0.4202700958404595,0.3834586466165413,3.7383177570093458,82.24135146118975,25.38940809968848,84.59933536110162,,,100.0
jtt,2023-12-26 03:06:23.763578,0.001,0.01,50,0,0,/data,/home/sjoshi/spuco_experiments/group_inference_tuning/results.csv,128,300,1e-05,1.0,0.9,False,0.9,,0.0,94.72367049009384,0.5404503753127606,0.5319133937562941,0.3266666666666666,0.4460131014230856,0.3684210526315789,0.0,76.78832116788321,37.22741433021807,67.03840551777472,,,100.0
jtt,2023-12-26 03:13:05.817588,0.001,0.1,50,0,0,/data,/home/sjoshi/spuco_experiments/group_inference_tuning/results.csv,128,300,1e-05,1.0,0.9,False,0.9,,0.0,94.8696558915537,0.4111759799833194,0.4410686562014835,0.4224598930481283,0.2990496627835683,0.1695278969957081,0.0,23.211678832116785,19.003115264797508,88.21547837489763,,,100.0
jtt,2023-12-26 06:19:19.987697,0.001,0.1,60,0,0,/data,/home/sjoshi/spuco_experiments/group_inference_tuning/results.csv,128,300,1e-05,1.0,0.9,False,0.9,,0.0,96.64233576642336,0.396163469557965,0.4138454243717402,0.3189189189189189,0.2813498338119978,0.1266094420600858,0.0,23.211678832116785,18.22429906542056,87.18713336122103,,,100.0
jtt,2023-12-26 08:48:33.273033,0.001,0.1,40,0,0,/data,/home/sjoshi/spuco_experiments/group_inference_tuning/results.csv,128,300,1e-05,1.0,0.9,False,0.9,,0.0,90.09384775808134,0.4153461217681401,0.4206092153460574,0.4051282051282051,0.3028090612798089,0.1695278969957081,0.0,23.211678832116785,23.83177570093458,87.9273015614196,,,100.0
jtt,2023-12-26 08:56:14.989419,0.001,0.01,40,0,0,/data,/home/sjoshi/spuco_experiments/group_inference_tuning/results.csv,128,300,1e-05,1.0,0.9,False,0.9,,0.0,90.90719499478624,0.4595496246872393,0.4853873462660073,0.4393939393939394,0.3543112072025557,0.2725321888412017,0.0,23.211678832116785,27.258566978193148,78.73114845379948,,,100.0
jtt,2023-12-26 18:10:30.504120,0.0001,0.01,40,0,0,/data,/home/sjoshi/spuco_experiments/group_inference_tuning/results.csv,128,300,1e-05,1.0,0.9,False,0.9,,0.0,84.96350364963504,0.4578815679733111,0.4824308755760368,0.4285714285714285,0.3569895769466584,0.2854077253218884,0.0,23.211678832116785,33.21507760532151,75.03007628696167,,,100.0
jtt,2023-12-26 18:30:59.670691,0.001,1.0,40,0,0,/data,/home/sjoshi/spuco_experiments/group_inference_tuning/results.csv,128,300,1e-05,1.0,0.9,False,0.9,,0.0,76.78832116788321,0.3386155129274395,0.2706422018348624,0.0,0.2218045112781954,0.0,0.0,23.211678832116785,0.0,76.78832116788321,,,100.0
jtt,2023-12-26 19:07:45.942538,0.001,1.0,50,0,0,/data,/home/sjoshi/spuco_experiments/group_inference_tuning/results.csv,128,300,1e-05,1.0,0.9,False,0.9,,0.0,76.78832116788321,0.3386155129274395,0.2706422018348624,0.0,0.2218045112781954,0.0,0.0,23.211678832116785,0.0,76.78832116788321,,,100.0
