alg,timestamp,lr,weight_decay,gpu,seed,root_dir,results_csv,num_epochs,batch_size,momentum,pretrained,val_gradcam_iou,val_worst_group_accuracy,val_avg_min_group_accuracy,val_average_accuracy,test_spurious_attribute_prediction,test_worst_group_accuracy,test_average_accuracy
erm,2024-01-02 23:53:16.300449,1e-05,0.001,0,0,/data,/home/sjoshi/spuco_experiments/robust_training_tuning/results.csv,10,64,0.9,True,0.1818405671834657,1.5037593984962403,1.5037593984962403,77.81484570475396,48.79185364169831,1.0903426791277258,85.82145114312316
erm,2024-01-03 00:07:25.171771,1e-05,0.001,0,0,/data,/home/sjoshi/spuco_experiments/robust_training_tuning/results.csv,20,64,0.9,True,0.177760404604095,6.7669172932330826,6.7669172932330826,75.31276063386154,47.25578184328616,6.697819314641745,92.00738566735316
erm,2024-01-03 00:20:01.113288,1e-05,0.001,0,0,/data,/home/sjoshi/spuco_experiments/robust_training_tuning/results.csv,30,64,0.9,True,0.1782241212421153,11.278195488721805,11.278195488721805,73.8115095913261,47.04867103900587,11.214953271028037,93.79668342341736
erm,2024-01-03 00:28:55.652739,1e-05,0.001,0,0,/data,/home/sjoshi/spuco_experiments/robust_training_tuning/results.csv,40,64,0.9,True,0.180103956245285,13.533834586466163,13.533834586466163,73.56130108423686,46.44459785985502,14.953271028037385,94.4442492972739
erm,2024-01-03 00:37:59.108238,1e-05,0.001,0,0,/data,/home/sjoshi/spuco_experiments/robust_training_tuning/results.csv,50,64,0.9,True,0.182205979248598,17.293233082706767,17.293233082706767,74.22852376980818,46.013117017604415,18.84735202492212,95.02549210994034
erm,2024-01-03 00:49:20.109083,1e-05,0.001,0,0,/data,/home/sjoshi/spuco_experiments/robust_training_tuning/results.csv,60,64,0.9,True,0.1837665604443742,21.05263157894737,21.05263157894737,74.9791492910759,45.788746979634105,24.76635514018692,95.40164047078802
erm,2024-01-03 01:02:03.441899,1e-05,0.001,0,0,/data,/home/sjoshi/spuco_experiments/robust_training_tuning/results.csv,70,64,0.9,True,0.1844235231252328,28.571428571428573,28.571428571428573,76.31359466221852,45.39178460476355,27.570093457943926,95.69996109565406
erm,2024-01-03 01:13:49.922247,1e-05,0.001,0,0,/data,/home/sjoshi/spuco_experiments/robust_training_tuning/results.csv,80,64,0.9,True,0.1864105370991144,31.57894736842105,31.57894736842105,76.8974145120934,45.06385916465309,30.529595015576323,95.81282125409682
erm,2024-01-03 01:22:39.658449,1e-05,0.001,0,0,/data,/home/sjoshi/spuco_experiments/robust_training_tuning/results.csv,90,64,0.9,True,0.1893917931458875,35.338345864661655,35.338345864661655,78.14845704753961,44.94304452882293,33.8006230529595,95.927901638969
erm,2024-01-03 01:30:09.225634,1e-05,0.001,0,0,/data,/home/sjoshi/spuco_experiments/robust_training_tuning/results.csv,100,64,0.9,True,0.1915284494699388,36.090225563909776,36.090225563909776,78.81567973311093,44.83948912668278,36.29283489096573,96.1332076938971
erm,2024-01-03 01:41:00.404344,1e-05,0.001,0,0,/data,/home/sjoshi/spuco_experiments/robust_training_tuning/results.csv,110,64,0.9,True,0.192469845398299,38.34586466165413,38.34586466165413,79.48290241868224,44.71867449085261,39.7196261682243,96.28926477816113
erm,2024-01-03 01:52:18.986178,1e-05,0.001,0,0,/data,/home/sjoshi/spuco_experiments/robust_training_tuning/results.csv,120,64,0.9,True,0.1939171960570323,38.34586466165413,38.34586466165413,79.98331943286071,44.4252675181222,42.52336448598131,96.36795503198395
erm,2024-01-03 02:03:13.688489,1e-05,0.001,0,0,/data,/home/sjoshi/spuco_experiments/robust_training_tuning/results.csv,130,64,0.9,True,0.1949748216337271,38.34586466165413,38.34586466165413,80.4837364470392,44.3562305833621,44.54828660436137,96.42592139097906
erm,2024-01-03 02:14:02.415580,1e-05,0.001,0,0,/data,/home/sjoshi/spuco_experiments/robust_training_tuning/results.csv,140,64,0.9,True,0.1954968010956091,38.34586466165413,38.34586466165413,80.81734778982485,44.32171211598205,46.57320872274144,96.4614635105751
